Jesse James,PIT,TE,525000
Will Tye,NYG,TE,525000
Jeff Heuerman,DEN,TE,525000
Nick Boyle,BAL,TE,525000
EJ Bibbs,CLE,TE,525000
Sean McGrath,SD,TE,525000
CJ Uzomah,CIN,TE,525000
Nick O'Leary,BUF,TE,525000
Brian Parker,KC,TE,525000
Khari Lee,CHI,TE,525000
Geoff Swaim,DAL,TE,525000
MyCole Pruitt,MIN,TE,525000
James O'Shaughnessy,KC,TE,525000
Kennard Backman,GB,TE,525000
Rashaun Allen,NO,TE,525000
Beau Sandland,CAR,TE,450000
Temarrick Hemingway,LA,TE,450000
Thomas Duarte,MIA,TE,450000
Matt Lacosse,NYG,TE,450000
Hunter Henry,SD,TE,450000
Gerald Christian,ARI,TE,450000
Jerell Adams,NYG,TE,450000
Austin Hooper,ATL,TE,450000
Tyler Higbee,LA,TE,450000
Marcel Jensen,WAS,TE,450000
Xavier Grimble,PIT,TE,450000
Chris Manhertz,NO,TE,450000
AJ Derby,NE,TE,450000
Nick Vannett,SEA,TE,450000
Randall Telfer,CLE,TE,450000
Erik Swoope,IND,TE,450000
Michael Williams,NE,TE,348000
Gabe Holmes,OAK,TE,348000
Cory Harkey,LA,TE,0
Cooper Helfet,NA,TE,0
Orson Charles,DET,TE,0
Heath Miller,NA,TE,0
Owen Daniels,NA,TE,0
Scott Chandler,NA,TE,0
AD Denham,HOU,TE,0
Matt Spaeth,NA,TE,0
Craig Stevens,NA,TE,0
Ryan Hewitt,CIN,TE,0
Rob Housler,CHI,TE,0
Bear Pascoe,NA,TE,0
Martavis Bryant,PIT,WR,
Alshon Jeffery,CHI,WR,14599000
Demaryius Thomas,DEN,WR,13000000
Larry Fitzgerald,ARI,WR,11000000
Vincent Jackson,TB,WR,9777777
Jeremy Maclin,KC,WR,9750000
Julio Jones,ATL,WR,9500000
Brandon Marshall,NYJ,WR,9500000
Dez Bryant,DAL,WR,9000000
Pierre Garcon,WAS,WR,7600000
Kendall Wright,TEN,WR,7320000
Michael Floyd,ARI,WR,7320000
Eric Decker,NYJ,WR,6500000
Antonio Brown,PIT,WR,6250000
Emmanuel Sanders,DEN,WR,5600000
Jordy Nelson,GB,WR,5500000
Michael Crabtree,OAK,WR,5000000
Allen Hurns,JAX,WR,5000000
Golden Tate,DET,WR,4750000
Eddie Royal,CHI,WR,4500000
Torrey Smith,SF,WR,4500000
AJ Green,CIN,WR,3800000
DeSean Jackson,WAS,WR,3750000
Kenny Britt,LA,WR,3600000
Marvin Jones,DET,WR,3000000
Steve Smith,BAL,WR,3000000
TY Hilton,IND,WR,3000000
Dwayne Harris,NYG,WR,2975000
Travis Benjamin,SD,WR,2750000
Kamar Aiken,BAL,WR,2553000
Julian Edelman,NE,WR,2500000
Rishard Matthews,TEN,WR,2500000
Victor Cruz,NYG,WR,2400000
Cole Beasley,DAL,WR,2356000
Tavon Austin,LA,WR,2143773
Jarius Wright,MIN,WR,1900000
Kenny Stills,MIA,WR,1671000
Jaron Brown,ARI,WR,1671000
Kenbrell Thompkins,NYJ,WR,1671000
Marquess Wilson,CHI,WR,1671000
Markus Wheaton,PIT,WR,1671000
Russell Shepard,TB,WR,1671000
Terrelle Pryor,CLE,WR,1671000
Terrance Williams,DAL,WR,1661000
Keenan Allen,SD,WR,1656000
Anquan Boldin,DET,WR,1550000
Harry Douglas,TEN,WR,1500000
Randall Cobb,GB,WR,1500000
