Rk,Player,Team,Pos,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fum Lost,Fantasy Points
108,Michael Crabtree,SF,WR,0,0,0,0,0,4,65,0,0,6.5
109,Clyde Gates,NYJ,WR,0,0,0,0,0,3,65,0,0,6.5
110,Austin Pettis,STL,WR,0,0,0,0,0,1,5,1,0,6.5
111,Marvin Jones,CIN,WR,0,0,0,0,0,5,65,0,0,6.5
112,Jonathan Baldwin,KC,WR,0,0,0,0,0,2,64,0,0,6.4
113,David Thomas,NO,TE,0,0,0,0,0,1,3,1,0,6.3
114,Brandon Lloyd,NE,WR,0,0,0,0,0,6,62,0,0,6.2
115,Michael Palmer,ATL,TE,0,0,0,0,0,1,1,1,0,6.1
116,Jarius Wright,MIN,WR,0,0,0,8,0,5,53,0,0,6.1
117,Jason Witten,DAL,TE,0,0,0,0,0,6,60,0,0,6
118,Greg McElroy,NYJ,QB,185,0,1,25,0,0,0,0,1,5.9
119,Robert Turbin,SEA,RB,0,0,0,38,0,2,20,0,0,5.8
120,Michael Turner,ATL,RB,0,0,0,41,0,4,16,0,0,5.7
121,Dennis Pitta,BAL,TE,0,0,0,0,0,4,56,0,0,5.6
122,Jackie Battle,SD,RB,0,0,0,49,0,1,5,0,0,5.4
123,Cecil Shorts,JAX,WR,0,0,0,0,0,6,54,0,0,5.4
124,Greg Olsen,CAR,TE,0,0,0,0,0,6,53,0,0,5.3
125,Rashard Mendenhall,PIT,RB,0,0,0,50,0,0,0,0,0,5
126,TJ Graham,BUF,WR,0,0,0,0,0,3,49,0,0,4.9
127,DeAngelo Williams,CAR,RB,0,0,0,19,0,2,29,0,0,4.8
128,Darren McFadden,OAK,RB,0,0,0,33,0,3,15,0,0,4.8
129,Ahmad Bradshaw,NYG,RB,0,0,0,39,0,1,8,0,0,4.7
130,Benjamin Watson,CLE,TE,0,0,0,0,0,3,47,0,0,4.7
131,Michael Floyd,ARI,WR,0,0,0,0,0,6,47,0,0,4.7
