Rk,ID,Player,Team,Pos,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fum Lost,Fantasy Points
201,14865,Marquise Goodwin,BUF,WR,0,0,0,0,0,1,22,0,0,2.2
202,4484,Zach Miller,SEA,TE,0,0,0,0,0,3,21,0,0,2.1
203,8066,Darren McFadden,OAK,RB,0,0,0,6,0,3,15,0,0,2.1
204,15336,Joseph Fauria,DET,TE,0,0,0,0,0,3,20,0,0,2
205,15470,Da'Rick Rogers,IND,WR,0,0,0,0,0,2,20,0,0,2
206,15484,Ray Graham,HOU,RB,0,0,0,8,0,1,12,0,0,2
207,12239,Chris Ivory,NYJ,RB,0,0,0,19,0,0,0,0,0,1.9
208,12262,Jonathan Dwyer,PIT,RB,0,0,0,10,0,1,9,0,0,1.9
209,1362,Jackie Battle,TEN,RB,0,0,0,16,0,1,2,0,0,1.8
210,11555,Jim Dray,ARI,TE,0,0,0,0,0,1,18,0,0,1.8
211,12701,Stanley Havili,IND,FB,0,0,0,0,0,2,18,0,0,1.8
212,12907,Weslye Saunders,IND,TE,0,0,0,0,0,1,18,0,0,1.8
213,15034,Lamaar Thomas,JAX,WR,0,0,0,0,0,1,18,0,0,1.8
214,7635,Heath Miller,PIT,TE,0,0,0,0,0,2,17,0,0,1.7
215,8649,Rashad Jennings,OAK,RB,0,0,0,9,0,2,8,0,0,1.7
216,1854,Domenik Hixon,CAR,WR,0,0,0,0,0,2,16,0,0,1.6
217,1181,Martellus Bennett,CHI,TE,0,0,0,0,0,1,15,0,0,1.5
218,13016,Virgil Green,DEN,TE,0,0,0,0,0,2,15,0,0,1.5
219,13102,Jordan Todman,JAX,RB,0,0,0,3,0,1,12,0,0,1.5
220,13391,Austin Pettis,STL,WR,0,0,0,0,0,2,15,0,0,1.5
221,1958,Joe Staley,SF,LT,0,0,0,0,0,1,14,0,0,1.4
222,5820,Frank Gore,SF,RB,0,0,0,14,0,0,0,0,0,1.4
223,15230,Stepfan Taylor,ARI,RB,0,0,0,7,0,1,7,0,0,1.4
224,1944,Santana Moss,WAS,WR,0,0,0,0,0,2,13,0,0,1.3
225,13440,Kendall Hunter,SF,RB,0,0,0,13,0,0,0,0,0,1.3
226,14445,Rhett Ellison,MIN,TE,0,0,0,0,0,1,13,0,0,1.3
227,14533,Robert Turbin,SEA,RB,0,0,0,13,0,0,0,0,0,1.3
228,13878,Mohamed Sanu,CIN,WR,0,0,0,0,0,1,12,0,0,1.2
229,14501,LaMichael James,SF,RB,0,0,0,0,0,1,12,0,0,1.2
230,14891,Tommy Bohanon,NYJ,FB,0,0,0,12,0,0,0,0,0,1.2
231,371,Michael Bush,CHI,RB,0,0,0,11,0,0,0,0,0,1.1
232,3382,Marcel Reece,OAK,FB,0,0,0,0,0,1,11,0,0,1.1
233,5100,Jacoby Jones,BAL,WR,0,0,0,0,0,1,11,0,0,1.1
234,7290,Felix Jones,PIT,RB,0,0,0,11,0,0,0,0,0,1.1
235,8455,Bernard Scott,BAL,RB,0,0,0,3,0,1,8,0,0,1.1
236,11317,Clay Harbor,JAX,TE,0,0,0,0,0,2,11,0,0,1.1
237,13800,Marcus Thigpen,MIA,RB,0,0,0,0,0,1,11,0,0,1.1
238,13992,LaVon Brazill,IND,WR,0,0,0,0,0,1,11,0,0,1.1
239,14820,Sean McGrath,KC,TE,0,0,0,0,0,1,11,0,0,1.1
240,14252,Kirk Cousins,WAS,QB,169,0,2,3,0,0,0,0,1,1.06
241,8399,Shonn Greene,TEN,RB,0,0,0,10,0,0,0,0,0,1
242,15118,Marquess Wilson,CHI,WR,0,0,0,0,0,1,10,0,0,1
243,1034,Matt Hasselbeck,IND,QB,25,0,0,-1,0,0,0,0,0,0.9
244,8778,Brandon Myers,NYG,TE,0,0,0,0,0,2,9,0,0,0.9
245,9277,Chris Ogbonnaya,CLE,FB,0,0,0,0,0,1,9,0,0,0.9
246,9906,Danny Amendola,NE,WR,0,0,0,0,0,1,9,0,0,0.9
247,12874,Greg Little,CLE,WR,0,0,0,0,0,1,9,0,0,0.9
248,14070,Cyrus Gray,KC,RB,0,0,0,2,0,3,7,0,0,0.9
249,14620,Will Johnson,PIT,FB,0,0,0,0,0,1,9,0,0,0.9
250,8777,Louis Murphy,NYG,WR,0,0,0,0,0,1,8,0,0,0.8
251,13471,Ricardo Lockette,SEA,WR,0,0,0,0,0,1,8,0,0,0.8
252,13861,Orson Charles,CIN,TE,0,0,0,0,0,1,8,0,0,0.8
253,15866,Josh Hill,NO,TE,0,0,0,0,0,1,8,0,0,0.8
254,11751,Alex Smith,CIN,TE,0,0,0,0,0,1,7,0,0,0.7
255,11756,Benjamin Watson,NO,TE,0,0,0,0,0,1,7,0,0,0.7
256,13203,Dane Sanzenbacher,CIN,WR,0,0,0,0,0,1,7,0,0,0.7
257,14141,Cole Beasley,DAL,WR,0,0,0,0,0,1,7,0,0,0.7
258,15416,Zach Sudfeld,NYJ,TE,0,0,0,0,0,1,7,0,0,0.7
259,3725,Greg Jones,HOU,FB,0,0,0,0,0,1,6,0,0,0.6
260,13394,Greg Salas,NYJ,WR,0,0,0,0,0,1,6,0,0,0.6
261,14886,Aaron Dobson,NE,WR,0,0,0,0,0,1,6,0,0,0.6
262,15631,Derrick Coleman,SEA,FB,0,0,0,0,0,1,6,0,0,0.6
263,13661,Jed Collins,NO,FB,0,0,0,3,0,1,2,0,0,0.5
264,14715,Chris Owusu,TB,WR,0,0,0,0,0,1,5,0,0,0.5
265,11969,Darrel Young,WAS,FB,0,0,0,4,0,0,0,0,0,0.4
266,14783,James Develin,NE,RB,0,0,0,4,0,0,0,0,0,0.4
267,15163,Darius Johnson,ATL,WR,0,0,0,0,0,1,4,0,0,0.4
268,15263,Luke Willson,SEA,TE,0,0,0,0,0,1,4,0,0,0.4
